Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 1, 1, 1, 1
0, 1, 11, 11, 1, 1
0, 10, 101, 101, 1, 1
0, 100, 1001, 1001, 1, 1
0, 101, 1011, 1011, 1, 1
0, 102, 1021, 1021, 1, 1
0, 103, 1031, 1031, 1, 1
0, 104, 1041, 1041, 1, 1
0, 105, 1051, 1051, 1, 1
0, 106, 1061, 1061, 1, 1
0, 107, 1071, 1071, 1, 1
0, 108, 1081, 1081, 1, 1
0, 109, 1091, 1091, 1, 1
0, 11, 111, 111, 1, 1
0, 110, 1101, 1101, 1, 1
0, 111, 1111, 1111, 1, 1
0, 112, 1121, 1121, 1, 1
0, 113, 1131, 1131, 1, 1
0, 114, 1141, 1141, 1, 1
0, 115, 1151, 1151, 1, 1
0, 116, 1161, 1161, 1, 1
0, 117, 1171, 1171, 1, 1
0, 118, 1181, 1181, 1, 1
0, 119, 1191, 1191, 1, 1
0, 12, 121, 121, 1, 1
0, 120, 1201, 1201, 1, 1
0, 121, 1211, 1211, 1, 1
0, 122, 1221, 1221, 1, 1
0, 123, 1231, 1231, 1, 1
0, 124, 1241, 1241, 1, 1
0, 125, 1251, 1251, 1, 1
0, 126, 1261, 1261, 1, 1
0, 127, 1271, 1271, 1, 1
0, 128, 1281, 1281, 1, 1
0, 129, 1291, 1291, 1, 1
0, 13, 131, 131, 1, 1
0, 130, 1301, 1301, 1, 1
0, 131, 1311, 1311, 1, 1
0, 132, 1321, 1321, 1, 1
0, 133, 1331, 1331, 1, 1
0, 134, 1341, 1341, 1, 1
0, 135, 1351, 1351, 1, 1
0, 136, 1361, 1361, 1, 1
0, 137, 1371, 1371, 1, 1
0, 138, 1381, 1381, 1, 1
0, 139, 1391, 1391, 1, 1
0, 14, 141, 141, 1, 1
0, 15, 151, 151, 1, 1
0, 16, 161, 161, 1, 1
0, 17, 171, 171, 1, 1
0, 18, 181, 181, 1, 1
0, 19, 191, 191, 1, 1
0, 2, 21, 21, 1, 1
0, 20, 201, 201, 1, 1
0, 21, 211, 211, 1, 1
0, 22, 221, 221, 1, 1
0, 23, 231, 231, 1, 1
0, 24, 241, 241, 1, 1
0, 25, 251, 251, 1, 1
0, 26, 261, 261, 1, 1
0, 27, 271, 271, 1, 1
0, 28, 281, 281, 1, 1
0, 29, 291, 291, 1, 1
0, 3, 31, 31, 1, 1
0, 30, 301, 301, 1, 1
0, 31, 311, 311, 1, 1
0, 32, 321, 321, 1, 1
0, 33, 331, 331, 1, 1
0, 34, 341, 341, 1, 1
0, 35, 351, 351, 1, 1
0, 36, 361, 361, 1, 1
0, 37, 371, 371, 1, 1
0, 38, 381, 381, 1, 1
0, 39, 391, 391, 1, 1
0, 4, 41, 41, 1, 1
0, 40, 401, 401, 1, 1
0, 41, 411, 411, 1, 1
0, 42, 421, 421, 1, 1
0, 43, 431, 431, 1, 1
0, 44, 441, 441, 1, 1
0, 45, 451, 451, 1, 1
0, 46, 461, 461, 1, 1
0, 47, 471, 471, 1, 1
0, 48, 481, 481, 1, 1
0, 49, 491, 491, 1, 1
0, 5, 51, 51, 1, 1
0, 50, 501, 501, 1, 1
0, 51, 511, 511, 1, 1
0, 52, 521, 521, 1, 1
0, 53, 531, 531, 1, 1
0, 54, 541, 541, 1, 1
0, 55, 551, 551, 1, 1
0, 56, 561, 561, 1, 1
0, 57, 571, 571, 1, 1
0, 58, 581, 581, 1, 1
0, 59, 591, 591, 1, 1
0, 6, 61, 61, 1, 1
0, 60, 601, 601, 1, 1
0, 61, 611, 611, 1, 1
0, 62, 621, 621, 1, 1
0, 63, 631, 631, 1, 1
0, 64, 641, 641, 1, 1
0, 65, 651, 651, 1, 1
0, 66, 661, 661, 1, 1
0, 67, 671, 671, 1, 1
0, 68, 681, 681, 1, 1
0, 69, 691, 691, 1, 1
0, 7, 71, 71, 1, 1
0, 70, 701, 701, 1, 1
0, 71, 711, 711, 1, 1
0, 72, 721, 721, 1, 1
0, 73, 731, 731, 1, 1
0, 74, 741, 741, 1, 1
0, 75, 751, 751, 1, 1
0, 76, 761, 761, 1, 1
0, 77, 771, 771, 1, 1
0, 78, 781, 781, 1, 1
0, 79, 791, 791, 1, 1
0, 8, 81, 81, 1, 1
0, 80, 801, 801, 1, 1
0, 81, 811, 811, 1, 1
0, 82, 821, 821, 1, 1
0, 83, 831, 831, 1, 1
0, 84, 841, 841, 1, 1
0, 85, 851, 851, 1, 1
0, 86, 861, 861, 1, 1
0, 87, 871, 871, 1, 1
0, 88, 881, 881, 1, 1
0, 89, 891, 891, 1, 1
0, 9, 91, 91, 1, 1
0, 90, 901, 901, 1, 1
0, 91, 911, 911, 1, 1
0, 92, 921, 921, 1, 1
0, 93, 931, 931, 1, 1
0, 94, 941, 941, 1, 1
0, 95, 951, 951, 1, 1
0, 96, 961, 961, 1, 1
0, 97, 971, 971, 1, 1
0, 98, 981, 981, 1, 1
0, 99, 991, 991, 1, 1
1, 0, 3, 4, 3, 4
1, 1, 13, 14, 3, 4
1, 10, 103, 104, 3, 4
1, 100, 1003, 1004, 3, 4
1, 101, 1013, 1014, 3, 4
1, 102, 1023, 1024, 3, 4
1, 103, 1033, 1034, 3, 4
1, 104, 1043, 1044, 3, 4
1, 105, 1053, 1054, 3, 4
1, 106, 1063, 1064, 3, 4
1, 107, 1073, 1074, 3, 4
1, 108, 1083, 1084, 3, 4
1, 109, 1093, 1094, 3, 4
1, 11, 113, 114, 3, 4
1, 110, 1103, 1104, 3, 4
1, 111, 1113, 1114, 3, 4
1, 112, 1123, 1124, 3, 4
1, 113, 1133, 1134, 3, 4
1, 114, 1143, 1144, 3, 4
1, 115, 1153, 1154, 3, 4
1, 116, 1163, 1164, 3, 4
1, 117, 1173, 1174, 3, 4
1, 118, 1183, 1184, 3, 4
1, 119, 1193, 1194, 3, 4
1, 12, 123, 124, 3, 4
1, 120, 1203, 1204, 3, 4
1, 121, 1213, 1214, 3, 4
1, 122, 1223, 1224, 3, 4
1, 123, 1233, 1234, 3, 4
1, 124, 1243, 1244, 3, 4
1, 125, 1253, 1254, 3, 4
1, 126, 1263, 1264, 3, 4
1, 127, 1273, 1274, 3, 4
1, 128, 1283, 1284, 3, 4
1, 129, 1293, 1294, 3, 4
1, 13, 133, 134, 3, 4
1, 130, 1303, 1304, 3, 4
1, 131, 1313, 1314, 3, 4
1, 132, 1323, 1324, 3, 4
1, 133, 1333, 1334, 3, 4
1, 134, 1343, 1344, 3, 4
1, 135, 1353, 1354, 3, 4
1, 136, 1363, 1364, 3, 4
1, 137, 1373, 1374, 3, 4
1, 138, 1383, 1384, 3, 4
1, 139, 1393, 1394, 3, 4
1, 14, 143, 144, 3, 4
1, 15, 153, 154, 3, 4
1, 16, 163, 164, 3, 4
1, 17, 173, 174, 3, 4
1, 18, 183, 184, 3, 4
1, 19, 193, 194, 3, 4
1, 2, 23, 24, 3, 4
1, 20, 203, 204, 3, 4
1, 21, 213, 214, 3, 4
1, 22, 223, 224, 3, 4
1, 23, 233, 234, 3, 4
1, 24, 243, 244, 3, 4
1, 25, 253, 254, 3, 4
1, 26, 263, 264, 3, 4
1, 27, 273, 274, 3, 4
1, 28, 283, 284, 3, 4
1, 29, 293, 294, 3, 4
1, 3, 33, 34, 3, 4
1, 30, 303, 304, 3, 4
1, 31, 313, 314, 3, 4
1, 32, 323, 324, 3, 4
1, 33, 333, 334, 3, 4
1, 34, 343, 344, 3, 4
1, 35, 353, 354, 3, 4
1, 36, 363, 364, 3, 4
1, 37, 373, 374, 3, 4
1, 38, 383, 384, 3, 4
1, 39, 393, 394, 3, 4
1, 4, 43, 44, 3, 4
1, 40, 403, 404, 3, 4
1, 41, 413, 414, 3, 4
1, 42, 423, 424, 3, 4
1, 43, 433, 434, 3, 4
1, 44, 443, 444, 3, 4
1, 45, 453, 454, 3, 4
1, 46, 463, 464, 3, 4
1, 47, 473, 474, 3, 4
1, 48, 483, 484, 3, 4
1, 49, 493, 494, 3, 4
1, 5, 53, 54, 3, 4
1, 50, 503, 504, 3, 4
1, 51, 513, 514, 3, 4
1, 52, 523, 524, 3, 4
1, 53, 533, 534, 3, 4
1, 54, 543, 544, 3, 4
1, 55, 553, 554, 3, 4
1, 56, 563, 564, 3, 4
1, 57, 573, 574, 3, 4
1, 58, 583, 584, 3, 4
1, 59, 593, 594, 3, 4
1, 6, 63, 64, 3, 4
1, 60, 603, 604, 3, 4
1, 61, 613, 614, 3, 4
1, 62, 623, 624, 3, 4
1, 63, 633, 634, 3, 4
1, 64, 643, 644, 3, 4
1, 65, 653, 654, 3, 4
1, 66, 663, 664, 3, 4
1, 67, 673, 674, 3, 4
1, 68, 683, 684, 3, 4
1, 69, 693, 694, 3, 4
1, 7, 73, 74, 3, 4
1, 70, 703, 704, 3, 4
1, 71, 713, 714, 3, 4
1, 72, 723, 724, 3, 4
1, 73, 733, 734, 3, 4
1, 74, 743, 744, 3, 4
1, 75, 753, 754, 3, 4
1, 76, 763, 764, 3, 4
1, 77, 773, 774, 3, 4
1, 78, 783, 784, 3, 4
1, 79, 793, 794, 3, 4
1, 8, 83, 84, 3, 4
1, 80, 803, 804, 3, 4
1, 81, 813, 814, 3, 4
1, 82, 823, 824, 3, 4
1, 83, 833, 834, 3, 4
1, 84, 843, 844, 3, 4
1, 85, 853, 854, 3, 4
1, 86, 863, 864, 3, 4
1, 87, 873, 874, 3, 4
1, 88, 883, 884, 3, 4
1, 89, 893, 894, 3, 4
1, 9, 93, 94, 3, 4
1, 90, 903, 904, 3, 4
1, 91, 913, 914, 3, 4
1, 92, 923, 924, 3, 4
1, 93, 933, 934, 3, 4
1, 94, 943, 944, 3, 4
1, 95, 953, 954, 3, 4
1, 96, 963, 964, 3, 4
1, 97, 973, 974, 3, 4
1, 98, 983, 984, 3, 4
1, 99, 993, 994, 3, 4
2, 0, 1, 1, 1, 1
2, 1, 11, 11, 1, 1
2, 10, 101, 101, 1, 1
2, 100, 1001, 1001, 1, 1
2, 101, 1011, 1011, 1, 1
2, 102, 1021, 1021, 1, 1
2, 103, 1031, 1031, 1, 1
2, 104, 1041, 1041, 1, 1
2, 105, 1051, 1051, 1, 1
2, 106, 1061, 1061, 1, 1
2, 107, 1071, 1071, 1, 1
2, 108, 1081, 1081, 1, 1
2, 109, 1091, 1091, 1, 1
2, 11, 111, 111, 1, 1
2, 110, 1101, 1101, 1, 1
2, 111, 1111, 1111, 1, 1
2, 112, 1121, 1121, 1, 1
2, 113, 1131, 1131, 1, 1
2, 114, 1141, 1141, 1, 1
2, 115, 1151, 1151, 1, 1
2, 116, 1161, 1161, 1, 1
2, 117, 1171, 1171, 1, 1
2, 118, 1181, 1181, 1, 1
2, 119, 1191, 1191, 1, 1
2, 12, 121, 121, 1, 1
2, 120, 1201, 1201, 1, 1
2, 121, 1211, 1211, 1, 1
2, 122, 1221, 1221, 1, 1
2, 123, 1231, 1231, 1, 1
2, 124, 1241, 1241, 1, 1
2, 125, 1251, 1251, 1, 1
2, 126, 1261, 1261, 1, 1
2, 127, 1271, 1271, 1, 1
2, 128, 1281, 1281, 1, 1
2, 129, 1291, 1291, 1, 1
2, 13, 131, 131, 1, 1
2, 130, 1301, 1301, 1, 1
2, 131, 1311, 1311, 1, 1
2, 132, 1321, 1321, 1, 1
2, 133, 1331, 1331, 1, 1
2, 134, 1341, 1341, 1, 1
2, 135, 1351, 1351, 1, 1
2, 136, 1361, 1361, 1, 1
2, 137, 1371, 1371, 1, 1
2, 138, 1381, 1381, 1, 1
2, 139, 1391, 1391, 1, 1
2, 14, 141, 141, 1, 1
2, 15, 151, 151, 1, 1
2, 16, 161, 161, 1, 1
2, 17, 171, 171, 1, 1
2, 18, 181, 181, 1, 1
2, 19, 191, 191, 1, 1
2, 2, 21, 21, 1, 1
2, 20, 201, 201, 1, 1
2, 21, 211, 211, 1, 1
2, 22, 221, 221, 1, 1
2, 23, 231, 231, 1, 1
2, 24, 241, 241, 1, 1
2, 25, 251, 251, 1, 1
2, 26, 261, 261, 1, 1
2, 27, 271, 271, 1, 1
2, 28, 281, 281, 1, 1
2, 29, 291, 291, 1, 1
2, 3, 31, 31, 1, 1
2, 30, 301, 301, 1, 1
2, 31, 311, 311, 1, 1
2, 32, 321, 321, 1, 1
2, 33, 331, 331, 1, 1
2, 34, 341, 341, 1, 1
2, 35, 351, 351, 1, 1
2, 36, 361, 361, 1, 1
2, 37, 371, 371, 1, 1
2, 38, 381, 381, 1, 1
2, 39, 391, 391, 1, 1
2, 4, 41, 41, 1, 1
2, 40, 401, 401, 1, 1
2, 41, 411, 411, 1, 1
2, 42, 421, 421, 1, 1
2, 43, 431, 431, 1, 1
2, 44, 441, 441, 1, 1
2, 45, 451, 451, 1, 1
2, 46, 461, 461, 1, 1
2, 47, 471, 471, 1, 1
2, 48, 481, 481, 1, 1
2, 49, 491, 491, 1, 1
2, 5, 51, 51, 1, 1
2, 50, 501, 501, 1, 1
2, 51, 511, 511, 1, 1
2, 52, 521, 521, 1, 1
2, 53, 531, 531, 1, 1
2, 54, 541, 541, 1, 1
2, 55, 551, 551, 1, 1
2, 56, 561, 561, 1, 1
2, 57, 571, 571, 1, 1
2, 58, 581, 581, 1, 1
2, 59, 591, 591, 1, 1
2, 6, 61, 61, 1, 1
2, 60, 601, 601, 1, 1
2, 61, 611, 611, 1, 1
2, 62, 621, 621, 1, 1
2, 63, 631, 631, 1, 1
2, 64, 641, 641, 1, 1
2, 65, 651, 651, 1, 1
2, 66, 661, 661, 1, 1
2, 67, 671, 671, 1, 1
2, 68, 681, 681, 1, 1
2, 69, 691, 691, 1, 1
2, 7, 71, 71, 1, 1
2, 70, 701, 701, 1, 1
