Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,0,1,1,15,0
0,1,15,15,1,1,30,1
0,10,150,150,1,1,165,10
0,11,165,165,1,1,180,11
0,12,180,180,1,1,195,12
0,13,195,195,1,1,210,13
0,14,210,210,1,1,225,14
0,15,225,225,1,1,240,15
0,16,240,240,1,1,255,16
0,17,255,255,1,1,270,17
0,18,270,270,1,1,285,18
0,19,285,285,1,1,300,19
0,2,30,30,1,1,45,2
0,20,300,300,1,1,315,20
0,21,315,315,1,1,330,21
0,22,330,330,1,1,345,22
0,23,345,345,1,1,360,23
0,24,360,360,1,1,375,24
0,25,375,375,1,1,390,25
0,26,390,390,1,1,405,26
0,27,405,405,1,1,420,27
0,28,420,420,1,1,435,28
0,29,435,435,1,1,450,29
0,3,45,45,1,1,60,3
0,30,450,450,1,1,465,30
0,31,465,465,1,1,480,31
0,32,480,480,1,1,495,32
0,33,495,495,1,1,510,33
0,34,510,510,1,1,525,34
0,35,525,525,1,1,540,35
0,36,540,540,1,1,555,36
0,37,555,555,1,1,570,37
0,38,570,570,1,1,585,38
0,39,585,585,1,1,600,39
0,4,60,60,1,1,75,4
0,40,600,600,1,1,615,40
0,41,615,615,1,1,630,41
0,42,630,630,1,1,645,42
0,43,645,645,1,1,660,43
0,44,660,660,1,1,675,44
0,45,675,675,1,1,690,45
0,46,690,690,1,1,705,46
0,47,705,705,1,1,720,47
0,48,720,720,1,1,735,48
0,49,735,735,1,1,750,49
0,5,75,75,1,1,90,5
0,50,750,750,1,1,765,50
0,51,765,765,1,1,780,51
0,52,780,780,1,1,795,52
0,53,795,795,1,1,810,53
0,54,810,810,1,1,825,54
0,55,825,825,1,1,840,55
0,56,840,840,1,1,855,56
0,57,855,855,1,1,870,57
0,58,870,870,1,1,885,58
0,59,885,885,1,1,900,59
0,6,90,90,1,1,105,6
0,7,105,105,1,1,120,7
0,8,120,120,1,1,135,8
0,9,135,135,1,1,150,9
1,0,0,1,1,1,25,60
1,1,25,26,1,1,50,61
1,10,250,251,1,1,275,70
1,11,275,276,1,1,300,71
1,12,300,301,1,1,325,72
1,13,325,326,1,1,350,73
1,14,350,351,1,1,375,74
1,15,375,376,1,1,400,75
1,16,400,401,1,1,425,76
1,17,425,426,1,1,450,77
1,18,450,451,1,1,475,78
1,19,475,476,1,1,500,79
1,2,50,51,1,1,75,62
1,20,500,501,1,1,525,80
1,21,525,526,1,1,550,81
1,22,550,551,1,1,575,82
1,23,575,576,1,1,600,83
1,24,600,601,1,1,625,84
1,25,625,626,1,1,650,85
1,26,650,651,1,1,675,86
1,27,675,676,1,1,700,87
1,28,700,701,1,1,725,88
1,29,725,726,1,1,750,89
1,3,75,76,1,1,100,63
1,30,750,751,1,1,775,90
1,31,775,776,1,1,800,91
1,32,800,801,1,1,825,92
1,33,825,826,1,1,850,93
1,34,850,851,1,1,875,94
1,35,875,876,1,1,900,95
1,4,100,101,1,1,125,64
1,5,125,126,1,1,150,65
1,6,150,151,1,1,175,66
1,7,175,176,1,1,200,67
1,8,200,201,1,1,225,68
1,9,225,226,1,1,250,69
2,0,0,2,9,14,45,96
2,1,45,47,9,14,90,97
2,10,450,452,9,14,495,106
2,11,495,497,9,14,540,107
2,12,540,542,9,14,585,108
2,13,585,587,9,14,630,109
2,14,630,632,9,14,675,110
2,15,675,677,9,14,720,111
2,16,720,722,9,14,765,112
2,17,765,767,9,14,810,113
2,18,810,812,9,14,855,114
2,19,855,857,9,14,900,115
2,2,90,92,9,14,135,98
2,3,135,137,9,14,180,99
2,4,180,182,9,14,225,100
2,5,225,227,9,14,270,101
2,6,270,272,9,14,315,102
2,7,315,317,9,14,360,103
2,8,360,362,9,14,405,104
2,9,405,407,9,14,450,105
3,0,0,2,2,3,45,116
3,1,45,47,2,3,90,117
3,10,450,452,2,3,495,126
3,11,495,497,2,3,540,127
3,12,540,542,2,3,585,128
3,13,585,587,2,3,630,129
3,14,630,632,2,3,675,130
3,15,675,677,2,3,720,131
3,16,720,722,2,3,765,132
3,17,765,767,2,3,810,133
3,18,810,812,2,3,855,134
3,19,855,857,2,3,900,135
3,2,90,92,2,3,135,118
3,3,135,137,2,3,180,119
3,4,180,182,2,3,225,120
3,5,225,227,2,3,270,121
3,6,270,272,2,3,315,122
3,7,315,317,2,3,360,123
3,8,360,362,2,3,405,124
3,9,405,407,2,3,450,125
4,0,0,2,2,2,45,136
4,1,45,47,2,2,90,137
4,10,450,452,2,2,495,146
4,11,495,497,2,2,540,147
4,12,540,542,2,2,585,148
4,13,585,587,2,2,630,149
4,14,630,632,2,2,675,150
4,15,675,677,2,2,720,151
4,16,720,722,2,2,765,152
4,17,765,767,2,2,810,153
4,18,810,812,2,2,855,154
4,19,855,857,2,2,900,155
4,2,90,92,2,2,135,138
4,3,135,137,2,2,180,139
4,4,180,182,2,2,225,140
4,5,225,227,2,2,270,141
4,6,270,272,2,2,315,142
4,7,315,317,2,2,360,143
4,8,360,362,2,2,405,144
4,9,405,407,2,2,450,145
5,0,0,2,4,6,50,156
5,1,50,52,4,6,100,157
5,10,500,502,4,6,550,166
5,11,550,552,4,6,600,167
5,12,600,602,4,6,650,168
5,13,650,652,4,6,700,169
5,14,700,702,4,6,750,170
5,15,750,752,4,6,800,171
5,16,800,802,4,6,850,172
5,17,850,852,4,6,900,173
5,2,100,102,4,6,150,158
5,3,150,152,4,6,200,159
5,4,200,202,4,6,250,160
5,5,250,252,4,6,300,161
5,6,300,302,4,6,350,162
5,7,350,352,4,6,400,163
5,8,400,402,4,6,450,164
5,9,450,452,4,6,500,165
6,0,0,4,15,25,90,174
6,1,90,94,15,25,180,175
6,2,180,184,15,25,270,176
6,3,270,274,15,25,360,177
6,4,360,364,15,25,450,178
6,5,450,454,15,25,540,179
6,6,540,544,15,25,630,180
6,7,630,634,15,25,720,181
6,8,720,724,15,25,810,182
6,9,810,814,15,25,900,183
7,0,0,5,41,68,100,184
7,1,100,105,41,68,200,185
7,2,200,205,41,68,300,186
7,3,300,305,41,68,400,187
7,4,400,405,41,68,500,188
7,5,500,505,41,68,600,189
7,6,600,605,41,68,700,190
7,7,700,705,41,68,800,191
7,8,800,805,41,68,900,192
