Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 1, 1, 1, 1
0, 1, 11, 11, 1, 1
0, 2, 21, 21, 1, 1
0, 3, 31, 31, 1, 1
0, 4, 41, 41, 1, 1
0, 5, 51, 51, 1, 1
0, 6, 61, 61, 1, 1
0, 7, 71, 71, 1, 1
0, 8, 81, 81, 1, 1
1, 0, 1, 1, 1, 1
1, 1, 11, 11, 1, 1
1, 2, 21, 21, 1, 1
1, 3, 31, 31, 1, 1
1, 4, 41, 41, 1, 1
1, 5, 51, 51, 1, 1
1, 6, 61, 61, 1, 1
1, 7, 71, 71, 1, 1
1, 8, 81, 81, 1, 1
2, 0, 3, 5, 3, 5
2, 1, 13, 15, 3, 5
2, 2, 23, 25, 3, 5
2, 3, 33, 35, 3, 5
2, 4, 43, 45, 3, 5
2, 5, 53, 55, 3, 5
2, 6, 63, 65, 3, 5
2, 7, 73, 75, 3, 5
2, 8, 83, 85, 3, 5
3, 0, 1, 1, 1, 1
3, 1, 16, 16, 1, 1
3, 2, 31, 31, 1, 1
3, 3, 46, 46, 1, 1
3, 4, 61, 61, 1, 1
3, 5, 76, 76, 1, 1
4, 0, 2, 2, 2, 2
4, 1, 16, 16, 1, 1
4, 2, 32, 32, 2, 2
4, 3, 46, 46, 1, 1
4, 4, 62, 62, 2, 2
4, 5, 76, 76, 1, 1
5, 0, 2, 2, 2, 2
5, 1, 32, 32, 2, 2
5, 2, 62, 62, 2, 2
6, 0, 4, 6, 4, 6
6, 1, 34, 36, 4, 6
6, 2, 64, 66, 4, 6
7, 0, 4, 5, 4, 5
7, 1, 47, 50, 2, 5
