Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,5,24,39,100,0
0,1,100,105,24,39,200,1
0,10,1000,1005,24,39,1100,18
0,100,10000,10005,24,39,10100,188
0,101,10100,10105,24,39,10200,189
0,102,10200,10205,24,39,10300,191
0,103,10300,10305,24,39,10400,192
0,104,10400,10405,24,39,10500,194
0,105,10500,10505,24,39,10600,196
0,106,10600,10605,24,39,10700,198
0,107,10700,10705,24,39,10800,199
0,108,10800,10805,24,39,10900,201
0,109,10900,10905,24,39,11000,202
0,11,1100,1105,24,39,1200,19
0,110,11000,11005,24,39,11100,206
0,111,11100,11105,24,39,11200,207
0,112,11200,11205,24,39,11300,209
0,113,11300,11305,24,39,11400,210
0,114,11400,11405,24,39,11500,212
0,115,11500,11505,24,39,11600,214
0,116,11600,11605,24,39,11700,216
0,117,11700,11705,24,39,11800,217
0,118,11800,11805,24,39,11900,219
0,119,11900,11905,24,39,12000,220
0,12,1200,1205,24,39,1300,21
0,120,12000,12005,24,39,12100,225
0,121,12100,12105,24,39,12200,226
0,122,12200,12205,24,39,12300,228
0,123,12300,12305,24,39,12400,229
0,124,12400,12405,24,39,12500,231
0,125,12500,12505,24,39,12600,233
0,126,12600,12605,24,39,12700,235
0,127,12700,12705,24,39,12800,236
0,128,12800,12805,24,39,12900,238
0,129,12900,12905,24,39,13000,239
0,13,1300,1305,24,39,1400,22
0,130,13000,13005,24,39,13100,243
0,131,13100,13105,24,39,13200,244
0,132,13200,13205,24,39,13300,246
0,133,13300,13305,24,39,13400,247
0,134,13400,13405,24,39,13500,249
0,135,13500,13505,24,39,13600,251
0,136,13600,13605,24,39,13700,253
0,137,13700,13705,24,39,13800,254
0,138,13800,13805,24,39,13900,256
0,139,13900,13905,24,39,14000,257
0,14,1400,1405,24,39,1500,24
0,140,14000,14005,24,39,14100,262
0,141,14100,14105,24,39,14200,263
0,142,14200,14205,24,39,14300,265
0,143,14300,14305,24,39,14400,266
0,144,14400,14405,24,39,14500,268
0,145,14500,14505,24,39,14600,270
0,146,14600,14605,24,39,14700,272
0,147,14700,14705,24,39,14800,273
0,148,14800,14805,24,39,14900,275
0,149,14900,14905,24,39,15000,276
0,15,1500,1505,24,39,1600,26
0,150,15000,15005,24,39,15100,281
0,151,15100,15105,24,39,15200,282
0,152,15200,15205,24,39,15300,284
0,153,15300,15305,24,39,15400,285
0,154,15400,15405,24,39,15500,287
0,155,15500,15505,24,39,15600,289
0,156,15600,15605,24,39,15700,291
0,157,15700,15705,24,39,15800,292
0,158,15800,15805,24,39,15900,294
0,159,15900,15905,24,39,16000,295
0,16,1600,1605,24,39,1700,28
0,160,16000,16005,24,39,16100,300
0,161,16100,16105,24,39,16200,301
0,162,16200,16205,24,39,16300,303
0,163,16300,16305,24,39,16400,304
0,164,16400,16405,24,39,16500,306
0,165,16500,16505,24,39,16600,308
0,166,16600,16605,24,39,16700,310
0,167,16700,16705,24,39,16800,311
0,168,16800,16805,24,39,16900,313
0,169,16900,16905,24,39,17000,314
0,17,1700,1705,24,39,1800,29
0,170,17000,17005,24,39,17100,318
0,171,17100,17105,24,39,17200,319
0,172,17200,17205,24,39,17300,321
0,173,17300,17305,24,39,17400,322
0,174,17400,17405,24,39,17500,324
0,175,17500,17505,24,39,17600,326
0,176,17600,17605,24,39,17700,328
0,177,17700,17705,24,39,17800,329
0,178,17800,17805,24,39,17900,331
0,179,17900,17905,24,39,18000,332
0,18,1800,1805,24,39,1900,31
0,180,18000,18005,24,39,18100,337
0,181,18100,18105,24,39,18200,338
0,182,18200,18205,24,39,18300,340
0,183,18300,18305,24,39,18400,341
0,184,18400,18405,24,39,18500,343
0,185,18500,18505,24,39,18600,345
0,186,18600,18605,24,39,18700,347
0,187,18700,18705,24,39,18800,348
0,188,18800,18805,24,39,18900,350
0,189,18900,18905,24,39,19000,351
0,19,1900,1905,24,39,2000,32
0,190,19000,19005,24,39,19100,355
0,191,19100,19105,24,39,19200,356
0,192,19200,19205,24,39,19300,358
0,193,19300,19305,24,39,19400,359
0,194,19400,19405,24,39,19500,361
0,195,19500,19505,24,39,19600,363
0,196,19600,19605,24,39,19700,365
0,197,19700,19705,24,39,19800,366
0,198,19800,19805,24,39,19900,368
0,199,19900,19905,24,39,20000,369
0,2,200,205,24,39,300,3
0,20,2000,2005,24,39,2100,37
0,200,20000,20005,24,39,20100,377
0,201,20100,20105,24,39,20200,378
0,202,20200,20205,24,39,20300,380
0,203,20300,20305,24,39,20400,381
0,204,20400,20405,24,39,20500,383
