Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 2, 773, 2, 773
0, 1, 3002, 3153, 2, 153
0, 10, 30002, 30258, 2, 258
0, 100, 300002, 300279, 2, 279
0, 1000, 3000002, 3000300, 2, 300
0, 1001, 3003002, 3003153, 2, 153
0, 1002, 3006002, 3006153, 2, 153
0, 1003, 3009002, 3009153, 2, 153
0, 1004, 3012002, 3012153, 2, 153
0, 1005, 3015002, 3015153, 2, 153
0, 1006, 3018002, 3018153, 2, 153
0, 1007, 3021002, 3021153, 2, 153
0, 1008, 3024002, 3024318, 2, 318
0, 1009, 3027002, 3027153, 2, 153
0, 101, 303002, 303153, 2, 153
0, 1010, 3030002, 3030258, 2, 258
0, 1011, 3033002, 3033153, 2, 153
0, 1012, 3036002, 3036153, 2, 153
0, 1013, 3039002, 3039153, 2, 153
0, 1014, 3042002, 3042153, 2, 153
0, 1015, 3045002, 3045153, 2, 153
0, 1016, 3048002, 3048153, 2, 153
0, 1017, 3051002, 3051153, 2, 153
0, 1018, 3054002, 3054153, 2, 153
0, 1019, 3057002, 3057153, 2, 153
0, 102, 306002, 306153, 2, 153
0, 1020, 3060002, 3060300, 2, 300
0, 1021, 3063002, 3063153, 2, 153
0, 1022, 3066002, 3066153, 2, 153
0, 1023, 3069002, 3069153, 2, 153
0, 1024, 3072002, 3072153, 2, 153
0, 1025, 3075002, 3075153, 2, 153
0, 1026, 3078002, 3078153, 2, 153
0, 1027, 3081002, 3081153, 2, 153
0, 1028, 3084002, 3084153, 2, 153
0, 1029, 3087002, 3087153, 2, 153
0, 103, 309002, 309153, 2, 153
0, 1030, 3090002, 3090193, 2, 193
0, 1031, 3093002, 3093153, 2, 153
0, 1032, 3096002, 3096153, 2, 153
0, 1033, 3099002, 3099153, 2, 153
0, 1034, 3102002, 3102153, 2, 153
0, 1035, 3105002, 3105153, 2, 153
0, 1036, 3108002, 3108153, 2, 153
0, 1037, 3111002, 3111153, 2, 153
0, 1038, 3114002, 3114153, 2, 153
0, 1039, 3117002, 3117153, 2, 153
0, 104, 312002, 312153, 2, 153
0, 1040, 3120002, 3120258, 2, 258
0, 1041, 3123002, 3123153, 2, 153
0, 1042, 3126002, 3126153, 2, 153
0, 1043, 3129002, 3129153, 2, 153
0, 1044, 3132002, 3132153, 2, 153
0, 1045, 3135002, 3135153, 2, 153
0, 1046, 3138002, 3138153, 2, 153
0, 1047, 3141002, 3141153, 2, 153
0, 1048, 3144002, 3144153, 2, 153
0, 1049, 3147002, 3147153, 2, 153
0, 105, 315002, 315153, 2, 153
0, 1050, 3150002, 3150300, 2, 300
0, 1051, 3153002, 3153153, 2, 153
